solar,ppt
26.77884258,0.06634
27.77065363,0.02471
24.9412421,0.01591
19.69294874,0.19569
14.87402568,0.43517
9.307507608,1.12731
7.16672001,1.34366
8.065542045,0.99229
9.561993285,0.84291
15.27863529,0.72174
18.8112549,0.57623
24.53610959,0.35414
27.23666261,0.13323
28.12930012,0.03394
24.72547929,0.024
19.4442328,0.11146
14.26363116,0.42506
8.977545675,0.9104
6.947778856,1.16026
8.43287811,0.507429
10.09749164,0.380086
15.47365918,0.455429
18.11114314,0.504257
22.9123793,0.404571
25.44839384,0.251571
25.58173877,0.151971
23.65985801,0.078571
19.54147032,0.1676
14.16480967,0.340257
9.13503936,0.429514
6.88609974,0.587314
5.926395463,0.727
7.20045864,0.648
11.69900079,0.543
14.37164955,0.561
17.4788433,0.501
19.70011515,0.295
21.01327008,0.135
19.33684047,0.105
15.14581878,0.156
10.91060143,0.364
7.4933253,0.461
5.164158617,0.856
8.276500522,0.667886
12.78498298,0.500943
18.52300822,0.4746
22.49041638,0.482543
25.53736872,0.428229
30.32891938,0.220543
30.86748696,0.079486
27.8098111,0.086971
23.37526991,0.1746
15.50571705,0.443657
11.21233396,0.628971
7.595322152,0.777457
7.71501636,0.353
10.15893875,0.282
15.95038852,0.271
18.75849685,0.34
23.54974517,0.436
25.28871859,0.232
27.595664,0.069
24.93732512,0.056
20.00780231,0.112
14.74363012,0.313
9.490281587,0.331
7.05849123,0.448
8.632956645,0.418714
13.41790718,0.344629
18.56569006,0.348486
23.2153055,0.380029
28.21667309,0.375571
32.47388956,0.219886
32.6643695,0.057
30.16327486,0.052857
25.35620228,0.059371
16.65636348,0.2806
11.32928263,0.348771
8.50288941,0.434429
25.94225016,0.928086
17.45086152,0.895114
22.12416768,0.719886
32.21268096,0.514714
37.21255752,0.309429
38.30698704,0.062286
41.61874584,0.026571
39.24510936,0.028629
30.63844416,0.072886
27.15781776,0.406343
18.64493688,0.712857
15.44398872,0.958457
7.747118094,0.790057
12.32295504,0.753229
18.71687488,0.629
22.59262814,0.441114
25.73579047,0.243771
31.82067334,0.068257
31.50269454,0.013029
28.35465379,0.014971
23.30726541,0.052343
16.76689072,0.358571
11.49504815,0.622029
7.693238834,0.827314
6.421103265,1.23834
8.353799925,1.10071
13.23729701,0.89746
17.2247185,0.66031
21.26798104,0.37446
23.72912319,0.07817
24.18157671,0.01103
21.429438,0.00846
18.03344699,0.05109
12.65871227,0.44391
8.4674541,0.78563
6.43507671,1.3342
14.12146234,0.865
17.82136541,0.712
30.14951896,0.643
38.10075723,0.48
47.34708573,0.283
49.8714171,0.034
53.00670228,0.007
44.50507924,0.009
35.69163264,0.029
28.46541521,0.274
18.48081432,0.466
14.01986266,0.788
5.785138812,0.640235
7.456721813,0.727382
11.96913503,0.695
15.46037306,0.628265
19.99155132,0.401059
22.85398274,0.085941
23.27891813,0.004382
19.91074608,0.003471
16.69933092,0.041941
12.31998464,0.336353
8.10931988,0.540941
6.499640655,0.720588
8.170253697,0.8314
12.24594205,1.0768
15.88975743,1.10157
19.17199604,1.18706
23.53022591,0.63683
28.79977811,0.15082
28.69091623,0.04506
25.55061562,0.02374
21.64898526,0.05871
14.39256593,0.57541
10.26346299,0.88662
7.455941424,0.94738
4.65916408,2.17154
6.606690651,1.34306
9.333371565,1.02269
8.985750034,0.62697
15.13942893,0.3192
16.35537755,0.07617
17.51343674,0.02703
13.80228241,0.01926
11.98460335,0.12369
8.854551672,0.8298
5.505949032,1.75666
4.875301815,2.72129
6.98883916,1.96477
9.06577108,1.40363
14.41075626,0.90343
16.69667928,0.52514
20.85664887,0.217
22.45684383,0.04311
22.44129452,0.00246
20.417628,0.0108
16.00971844,0.09746
12.82677352,0.69371
8.41309548,1.46297
5.2010523,2.00397
8.255584575,1.098
10.19314341,0.835
16.38441378,0.553
19.33026022,0.36
23.4227037,0.225
24.58900662,0.085
24.68099992,0.079
22.08840931,0.04
18.36052756,0.072
14.33903017,0.394
9.778348933,0.802
7.5739212,1.404
5.28115974,1.81706
6.47986384,1.65246
11.93949756,1.44114
15.56847624,1.03991
18.54459324,0.91786
19.82254416,0.13934
20.28067312,0.12054
17.95057936,0.02511
14.08732596,0.40706
10.20383636,0.77597
6.81462176,1.18466
4.77993,1.72146
7.341332789,0.724086
9.802918412,0.578657
15.23896513,0.559457
20.33103595,0.606486
26.64957783,0.414943
24.24234981,0.254114
29.1933482,0.092314
27.54532655,0.105886
18.45321287,0.1122974
10.9467614,0.441514
10.35625125,0.6978
6.693188322,0.803543
8.276219961,0.159829
12.70249823,0.222257
17.2507797,0.290114
18.15558524,0.401629
23.18990506,0.560029
27.52934295,0.4254
27.96756048,0.214457
25.04415692,0.127143
20.68342645,0.153886
13.98594027,0.3334
8.888159361,0.247143
6.929822386,0.185371
7.803637397,0.83149
10.32716075,0.74289
16.5322018,0.58774
21.73007554,0.49854
26.44749436,0.3548
31.15603303,0.16443
31.14351281,0.05826
27.74203216,0.05211
22.29732973,0.18403
15.45572997,0.4348
9.680586309,1.06603
6.801510181,1.07897
7.532919413,0.346914
10.93140446,0.346686
16.29529828,0.464886
19.6956767,0.560143
22.80535623,0.573771
30.15349358,0.254971
29.93791266,0.0798
27.31757097,0.039629
21.61039626,0.123143
13.79415165,0.374229
9.537539852,0.364629
6.208413325,0.3812
7.876618651,0.397457
12.79680818,0.385371
17.72527118,0.452257
21.80381458,0.549171
25.76283093,0.485829
30.30400228,0.203829
31.69612286,0.052714
28.97048437,0.035114
23.91400917,0.088429
15.39247944,0.285171
10.03582075,0.3614
7.745298061,0.423571
7.244759463,1.12954
11.00972914,1.20386
17.48017142,1.0514
21.498356,0.86917
25.58965462,0.52854
30.58064314,0.12886
30.6540633,0.00674
27.89677259,0.01337
22.64831076,0.05737
15.29452676,0.53383
9.764016076,0.90854
6.823601671,1.24657
8.468376595,0.846714
12.48892345,0.721971
17.72412116,0.750914
19.94927272,0.699143
24.22892291,0.601314
26.01673363,0.168943
31.4108063,0.064686
27.99788933,0.049257
22.62585537,0.1288
14.58299553,0.478171
9.032951851,0.744886
7.454832516,0.877629
9.363384193,0.769943
13.2887833,0.570057
19.69167996,0.5174
24.27259366,0.3594
26.4282707,0.289657
30.2743201,0.252257
31.0964509,0.105857
28.17371513,0.084886
23.90611237,0.067229
16.09042643,0.345029
11.71584927,0.590371
8.098714689,0.816
5.481189019,0.848
6.70059961,1.004
10.23565859,1.017
12.94545991,1.069
16.29575971,0.671
17.87237139,0.263
18.57445627,0.062
16.77613358,0.038
13.05631542,0.132
9.521256431,0.625
6.441936757,0.909
4.963863314,0.89
5.684825661,0.642
6.949539684,0.827
10.61593286,0.801
13.42640847,0.8
16.90117831,0.412
18.53636412,0.043
19.2645328,0.029
17.39939899,0.001
13.54138247,0.027
9.874989294,0.307
6.681267013,0.58
5.148280318,0.785
